epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.608747,4.02883,5.00588,0,0.00021,0.11111,0.00077,0.00015,4.34679,5.58259,0,0,0,0
2,0.839534,4.32258,4.65179,0,0.00021,0.11111,0.00077,0.00015,4.34801,5.57892,0,1.99835e-05,1.99835e-05,1.99835e-05
3,1.07581,4.38353,4.81922,0,0.00021,0.11111,0.0006,0.00012,4.34901,5.58077,0,3.9934e-05,3.9934e-05,3.9934e-05
4,1.27319,4.26907,4.60378,0,0.00021,0.11111,0.00077,0.00015,4.34837,5.56808,0,5.98515e-05,5.98515e-05,5.98515e-05
5,1.47902,4.35919,5.02169,0,0.00021,0.11111,0.00077,0.00015,4.34426,5.56489,0,7.9736e-05,7.9736e-05,7.9736e-05
6,1.67859,4.3614,4.85725,0,0.00021,0.11111,0.00063,0.00013,4.34448,5.55147,0,9.95875e-05,9.95875e-05,9.95875e-05
7,1.87682,4.20082,4.71865,0,0.00021,0.11111,0.00077,0.00015,4.33831,5.54852,0,0.000119406,0.000119406,0.000119406
8,2.17484,4.2469,5.11624,0,0.00021,0.11111,0.00065,0.00013,4.33827,5.53633,0,0.000139192,0.000139192,0.000139192
9,2.37201,4.3108,4.49581,0,0.00021,0.11111,0.00063,0.00013,4.34046,5.52494,0,0.000158944,0.000158944,0.000158944
10,2.57042,4.28501,5.35089,0,0.00021,0.11111,0.00077,0.00015,4.33819,5.51731,0,0.000178664,0.000178664,0.000178664
11,2.7702,4.36538,5.03934,0,0.00021,0.11111,0.00686,0.00137,4.33598,5.5064,0,0.00019835,0.00019835,0.00019835
12,2.96794,4.08963,5.48933,0,0.00021,0.11111,0.00134,0.00027,4.33166,5.50246,0,0.000218004,0.000218004,0.000218004
13,3.16666,4.50742,4.93184,0,0.00021,0.11111,0.00027,5e-05,4.331,5.49463,0,0.000237624,0.000237624,0.000237624
14,3.36384,4.3074,5.11875,0,0.00021,0.11111,0.01055,0.00211,4.3289,5.46974,0,0.000257211,0.000257211,0.000257211
15,3.56181,4.44621,4.65734,0,0.00021,0.11111,0.00068,0.00014,4.32628,5.46066,0,0.000276766,0.000276766,0.000276766
16,3.75921,4.35971,4.66051,0,0.00021,0.11111,0.00065,0.00013,4.3292,5.45473,0,0.000296288,0.000296288,0.000296288
17,3.95683,4.55605,5.03373,0,0.00021,0.11111,0.00235,0.00047,4.32804,5.45527,0,0.000315776,0.000315776,0.000315776
18,4.29392,4.44189,4.7271,0,0.00021,0.11111,0.00025,5e-05,4.32913,5.45373,0,0.000335232,0.000335232,0.000335232
19,4.56899,4.35654,5.16588,0,0.00021,0.11111,0.00062,0.00012,4.33029,5.45715,0,0.000354654,0.000354654,0.000354654
20,4.83957,4.3609,5.29007,0,0.00021,0.11111,0.00254,0.00025,4.332,5.45641,0,0.000374044,0.000374044,0.000374044
21,5.11488,4.32954,4.6093,0,0.00021,0.11111,0.00204,0.0002,4.33029,5.44905,0,0.0003934,0.0003934,0.0003934
