epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.675994,4.16275,5.09434,0,0.00021,0.11111,0.00077,0.00015,4.34802,5.57891,0,2e-05,2e-05,2e-05
2,0.948435,4.39275,5.26082,0,0.00021,0.11111,0.00077,0.00015,4.34842,5.56771,0,5.99505e-05,5.99505e-05,5.99505e-05
3,1.19183,4.4568,5.83764,0,0.00021,0.11111,0.00063,0.00013,4.34319,5.5533,0,9.9835e-05,9.9835e-05,9.9835e-05
4,1.4351,4.28079,5.05166,0,0.00021,0.11111,0.00084,0.00017,4.33975,5.53437,0,0.000139654,0.000139654,0.000139654
5,1.68003,4.32802,5.17484,0,0.00021,0.11111,0.00077,0.00015,4.33817,5.51311,0,0.000179406,0.000179406,0.000179406
6,1.92712,4.08477,4.76978,0,0.00021,0.11111,0.00025,5e-05,4.33207,5.50453,0,0.000219093,0.000219093,0.000219093
7,2.16786,4.32531,4.89174,0,0.00021,0.11111,0.01055,0.00211,4.32856,5.47419,0,0.000258713,0.000258713,0.000258713
8,2.5128,4.30873,5.49358,0,0.00021,0.11111,0.00024,5e-05,4.32911,5.45672,0,0.000298268,0.000298268,0.000298268
9,2.75861,4.524,5.61456,0,0.00021,0.11111,0.00069,7e-05,4.33273,5.45094,0,0.000337756,0.000337756,0.000337756
10,3.0388,4.10776,5.49454,0,0.00021,0.11111,0.00022,2e-05,4.33331,5.4471,0,0.000377179,0.000377179,0.000377179
11,3.36126,4.22754,4.93896,0,0.00021,0.11111,0.00451,0.00045,4.34151,5.4531,0,0.000416535,0.000416535,0.000416535
12,3.68389,4.30831,5.28614,0,0.00021,0.11111,0.00069,7e-05,4.33988,5.45141,0,0.000455826,0.000455826,0.000455826
13,4.00031,4.03337,4.90298,0,0.00021,0.11111,0.00075,7e-05,4.34789,5.438,0,0.00049505,0.00049505,0.00049505
14,4.31809,4.52396,4.95192,0,0.00021,0.11111,0.00078,8e-05,4.34359,5.44094,0,0.000534208,0.000534208,0.000534208
15,4.74606,4.24333,4.53242,0,0.00021,0.11111,0.00249,0.00025,4.33987,5.4328,0,0.000573301,0.000573301,0.000573301
16,5.0694,4.31502,4.48018,0,0.00021,0.11111,0.00048,5e-05,4.33818,5.42926,0,0.000612328,0.000612328,0.000612328
17,5.39024,4.46712,4.9822,0,0.00021,0.11111,0.00061,6e-05,4.33737,5.42814,0,0.000651288,0.000651288,0.000651288
18,5.71019,4.37232,4.91334,0,0.00021,0.11111,0.00045,4e-05,4.34198,5.42772,0,0.000690182,0.000690182,0.000690182
19,6.03056,4.24194,4.64903,0,0.00021,0.11111,0.00048,5e-05,4.33223,5.43255,0,0.000729011,0.000729011,0.000729011
20,6.42648,4.31287,4.69382,0,0.00021,0.11111,0.00027,3e-05,4.32983,5.43571,0,0.000767774,0.000767774,0.000767774
21,6.74598,4.28482,5.18475,0,0.00021,0.11111,0.00068,7e-05,4.32252,5.43142,0,0.00080647,0.00080647,0.00080647
22,7.06669,4.26348,4.84845,0,0.00021,0.11111,0.00045,4e-05,4.31375,5.43264,0,0.000845101,0.000845101,0.000845101
23,7.38512,4.30845,4.79807,0,0.00021,0.11111,0.00051,5e-05,4.30987,5.43506,0,0.000883665,0.000883665,0.000883665
24,7.70435,4.13725,4.67736,0,0.00021,0.11111,0.00043,9e-05,4.30051,5.42739,0,0.000922163,0.000922163,0.000922163
